0	0	0
1	2.80	0	230.493655674722	44.8926982223777	83-116
2	7.26	0	414.485459182007	54.0645381559399	83-121
3	6.17	0	369.460157128787	46.2861883325225	89-121
4	1.36	0	170.715084838458	30.0765793237148	102-121
5	3.49	0	258.906206708669	25.4202923386475	125-161
6	5.54	0	343.491945518238	29.5118747242586	125-163
7	3.65	0	265.637187756689	19.5882146071183	133-163
8	3.48	0	258.335573552113	41.7405501690592	142-187
9	1.16	0	162.645935961873	42.0628208228392	162-187
10	0.16	0	121.092077865901	40.8237127481478	170-209
11	1.60	0	180.931931557678	46.264816275318	193-230
12	6.11	0	366.898797340861	56.2163882506465	193-235
13	5.10	0	325.355596590559	44.372919494114	200-235
14	1.62	0	181.611563666981	30.3712786345538	215-235
15	3.34	0	252.793489456989	45.824230581548	238-271
16	7.52	0	425.350253894446	53.0427581980447	236-276
17	6.52	0	384.040160672095	47.2667561965345	246-276
18	2.49	0	217.645943485659	31.0470677455269	257-276
19	5.41	0	338.312106124621	43.3062693426825	280-313
20	9.82	0	520.195788014548	52.7239015902229	280-318
21	7.47	0	423.177653266066	42.5138532098783	287-318
22	3.08	0	241.957673853942	26.0331310321064	299-318
23	4.48	0	299.916797120841	44.1488126458398	323-355
24	8.80	0	478.09319305518	57.0430198473841	323-361
25	6.71	0	391.782043135324	46.3919371712396	331-361
26	2.32	0	210.302602314007	30.2803076108494	342-361
27	4.99	0	320.984349548341	48.0580168951255	365-398
28	7.54	0	425.921625317613	56.9384934814727	365-404
29	5.46	0	340.000985776339	46.8169553301969	373-404
30	0	0
